0.049521204,0.056576577,0.061018437,0.053763441,0.068217874,0.090163934,0.067669173,0.057912458,0.055904962,0.063529412,0.069767442,0.064102564,1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0.041089345,0.038559755,0.046088932,0.041081081,0.048167093,0.042966983,0.053185272,0.07256894,0.079734219,0.079268293,0.083778966,0.079545455,0.08994709,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0.042162698,0.074747475,0.050527903,0.060606061,0.068710359,0.057057057,0.086693548,0.068817204,0.071264368,0.095238095,0.083333333,0.101449275,0.10952381,0.134502924,0.130718954,0.285714286,0.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0.048587571,0.039322444,0.066666667,0.056478405,0.061538462,0.07254623,0.092307692,0.116959064,0.117647059,0.242424242,0.181818182,0.166666667,0.222222222,0.285714286,0.666666667,1,1,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0.056830601,0.052410901,0.055749129,0.065853659,0.063492063,0.076612903,0.072580645,0.066666667,0.090909091,0.189542484,0.117647059,0.125,0.4,0.5,0.666666667,0.666666667,1,1,1,1,1,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0.041242938,0.051219512,0.066666667,0.082758621,0.076719577,0.085470085,0.083333333,0.10952381,0.117647059,0.137254902,0.125,0.181818182,0.4,0.5,0.5,0.5,0.666666667,0.666666667,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,0.057,0.061,0.054,0.068,0.09,0.068,0.058,0.056,0.064,0.07,0.064,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.041,0.039,0.046,0.041,0.048,0.043,0.053,0.073,0.08,0.079,0.084,0.08,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.042,0.075,0.051,0.061,0.069,0.057,0.087,0.069,0.071,0.095,0.083,0.101,0.11,0.135,0.131,0.286,0.5,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.049,0.039,0.067,0.056,0.062,0.073,0.092,0.117,0.118,0.242,0.182,0.167,0.222,0.286,0.667,1,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.057,0.052,0.056,0.066,0.063,0.077,0.073,0.067,0.091,0.19,0.118,0.125,0.4,0.5,0.667,0.667,1,1,1,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.041,0.051,0.067,0.083,0.077,0.085,0.083,0.11,0.118,0.137,0.125,0.182,0.4,0.5,0.5,0.5,0.667,0.667,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,
T=0,,T=1,,T=2,,T=3,,T=4,,T=5,,,,,,,,,,,,,,,
0.05,,0.041,,0.042,,0.049,,0.057,,0.041,,,,,,,,,,,,,,,
0.057,,0.039,,0.075,,0.039,,0.052,,0.051,,,,,,,,,,,,,,,
0.061,,0.046,,0.051,,0.067,,0.056,,0.067,,,,,,,,,,,,,,,
0.054,,0.041,,0.061,,0.056,,0.066,,0.083,,,,,,,,,,,,,,,
0.068,,0.048,,0.069,,0.062,,0.063,,0.077,,,,,,,,,,,,,,,
0.09,,0.043,,0.057,,0.073,,0.077,,0.085,,,,,,,,,,,,,,,
0.068,,0.053,,0.087,,0.092,,0.073,,0.083,,,,,,,,,,,,,,,
0.058,,0.073,,0.069,,0.117,,0.067,,0.11,,,,,,,,,,,,,,,
0.056,,0.08,,0.071,,0.118,,0.091,,0.118,,,,,,,,,,,,,,,
0.064,,0.079,,0.095,,0.242,,0.19,,0.137,,,,,,,,,,,,,,,
0.07,,0.084,,0.083,,0.182,,0.118,,0.125,,,,,,,,,,,,,,,
0.064,,0.08,,0.101,,0.167,,0.125,,0.182,,,,,,,,,,,,,,,
1,,0.09,,0.11,,0.222,,0.4,,0.4,,,,,,,,,,,,,,,
,,,,0.135,,0.286,,0.5,,0.5,,,,,,,,,,,,,,,
,,,,0.131,,0.667,,0.667,,0.5,,,,,,,,,,,,,,,
,,,,0.286,,1,,0.667,,0.5,,,,,,,,,,,,,,,
,,,,0.5,,1,,1,,0.667,,,,,,,,,,,,,,,
,,,,,,1,,1,,0.667,,,,,,,,,,,,,,,
,,,,,,,,1,,1,,,,,,,,,,,,,,,
,,,,,,,,1,,1,,,,,,,,,,,,,,,
,,,,,,,,1,,1,,,,,,,,,,,,,,,
,,,,,,,,1,,1,,,,,,,,,,,,,,,
,,,,,,,,,,1,,,,,,,,,,,,,,,
,,,,,,,,,,1,,,,,,,,,,,,,,,
,,,,,,,,,,1,,,,,,,,,,,,,,,
,,,,,,,,,,1,,,,,,,,,,,,,,,
