,comm0,comm1,comm2,comm3,comm4,comm5,comm6,comm7,comm8,comm9,comm10,comm11,comm12,comm13,comm14,comm15,comm16,comm17,comm18,comm19,comm20,comm21,comm22,comm23,comm24,comm25
,,,,,,,,,,,,,,,,,,,,,,,,,,
t=0,0.062784349,0.085793358,0.061298077,0.116402116,0.093641618,0.118987342,0.01084991,0.12962963,0.044378698,0.027692308,0.078651685,0,nan,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
t=1,0.039289055,0.023734177,0.021306818,0.034562212,0.087289433,0.045454545,0.076923077,0.025,0.091836735,0.043478261,0.067567568,0.127118644,0.03,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
t=2,0.020089286,0.035479632,0.013452915,0,0,0,0.027027027,0,0,0.032967033,0,0,0,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
t=3,0.042613636,0.020361991,0.014409222,0.051724138,0,0.013215859,0.035714286,0,0,0.071428571,0,0,0,0,0,nan,nan,nan,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
t=4,0.042613636,0.030821918,0.03,0.059405941,0.0625,0,0.032258065,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
t=5,0.010650888,0.012048193,0,0,0,0,0,0.042857143,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,comm 11 for all timestamps : calculate,,,,,,,,,,,,,,
